Timestamp,Chat,Sender,Message
"2025-03-15 06:31:56","Родительский чат Шри-Ланка ✈️🏝👶🏼 летим на Шри с детьми","Dasha Belogub","Всем привет. Порекомендуйте, пожалуйста, хорошего остеопата для ребёнка."
"2025-03-15 06:21:37","Смыслы самоочевидного","Евгения Кузнецова","Квадробия не тела, но духа человеческага"
"2025-03-15 06:14:34","Смыслы самоочевидного","Евгения Кузнецова","Ору чаечкой😁, сказал бы мой сын! Ну, штош, скажу я)"
"2025-03-15 06:14:27","Панган Ko-Phangan","Unknown","[Photo] 🏍 Сегодня доступен для аренды и покупки💥 

👉 Ангельская Honda Lead 

Аренда: 260 бат/сутки (при аренде от недели)
Продажа: 45000 бат

✅ Шлемы и держатель для телефона 
✅ Вся техника полностью обслужена 

1️⃣ Можно взять технику в аренду на 1-2 дня. Если вы решили её приобрести, то цена аренды будет включена в сумму продажи.
2️⃣ Мы проводим полную предпродажную подготовку проверяем уровень масла, тормоза, электронику и тд.
3️⃣ Мы даём 2 недели гарантии на всю нашу технику. Если что-то пойдет не так, то мы всё исправим абсолютно бесплатно.
4️⃣ Мы всегда и давно на Пангане. Не уедем и не скроемся. У нас на Пангане 2 отеля, кафе и пункт аренды мотобайков. 
5️⃣ Даём рассрочку на срок до 5 месяцев (подробности у менеджера на месте).

Предупредите нас о времени 👉 @ru_phangan и приезжайте:
📍Phangan CenterPoint каждый день с 9:00 до 22:00!"
"2025-03-15 06:08:41","ВЕЛИГАМНОСТЬ 🏄‍♀️🛵🏖️ ШРИ-ЛАНКА","Lena","ребят ,где поблизости можно перевод документов с английского на русский сделать ?"
"2025-03-15 06:04:50","Панган Ko-Phangan","Sergei","[Photo] Свободен дом с 1 комнатой и кухней  на Бантае. 18 000 в месяц + электричество"
"2025-03-15 05:41:45","Смыслы самоочевидного","Евгения Кузнецова","Вот спасибо пожалуйста - всё по делу! Я выше фото из журнала 1904 года скинула. Это РИ, нет троцкистов, нет Клары и Розы. Но уже есть понятия своего личного имущества, уже в позитивном ключе про женский труд и умственную деятельность.

Согласна абсолютно. У меня есть близкая подруга из первых. Детство до дома, то в детдоме, отца не знает. Сначала были абьюзеры, потом мамкины сынки. Вырастила и воспитала племянницу, выдала её замуж за хорошего парня, спасла их дочку. А сама сейчас разводится😭 Потому что давно хочет родить, а никак. Просто не получалось, а потом выяснилось, что мужу нужно запариться здоровьем и он съехал, не нужны дети. Нужна красивая картинка рядом и периодически включать ""мужика"" на публику. Очень грустно. Сидела ревела, жаловалась, что не может выбирать мужиков. С таким бэкграундом неудивительно вообще!"
"2025-03-15 05:19:55","Смыслы самоочевидного","Евгения Кузнецова","У москвичей всегда проблемы с этим😁 Звонят мужу в час ночи:
- Бла-бла-бла-бла-бла, Александр. Сделать надо оперативно! Завтра быть на планёрке и предоставить отчёт до обеда. Поставьте себе, пожалуйста в план!
- Эээ-ффф (спросоня), у нас час ночи... 
...неловкая пауза...
- Как час ночи?!
- Владивосток, часовые пояса...
- Точно. Что с подрядчиками? 
- У них тоже час ночи.
- Они дали ответ?
- Завтра утром.
- Но завтра утром уже планёрка! 
- Владивосток...часовые пояса...
- Извините. Спокойной ночи. 
- И вам того же."
"2025-03-15 05:13:19","Панган Ko-Phangan","Tanya Galaktika","[Photo] ⭐️ Прямо сейчас доступно для краткосрочной аренды БЮДЖЕТНОЕ БУНГАЛЛО в тихом красивом месте.

Локация:  Мадуван. 
В 5 минутах езды на байке от пляжа Чалоклам.

✅ 11,500 бат в месяц, включая воду и WIFI

➕Депозит 3000 бат

➕ Электричество 7 бат за квартиру


✅Двуспальная кровать

✅ Ванная комната

‼️БЕЗ КОНДИЦИОНЕРА

‼️ Без кухни, но есть 

- мини-холодильник
- чайник
- тостер
- небольшая плита
- кофеварка
- тарелки/ложки/вилки

СТРОГО БЕЗ ВЕЧЕРИНОК И ГРОМКОГО ШУМА.

На данный момент возможна аренда только на 1 месяц с возможностью продления.

Для получения более подробной информации, фото, пожалуйста, напишите в личку.

Всем хорошего дня! ☀️"
"2025-03-15 05:00:11","Панган Ko-Phangan","Ильин Илья | Трейдер-иммигрант💙","[Photo] Новые уютные апартаменты в Тонгсале (42 метра)

❗️2 дня свободно 15-17.03 / 3400 бат (заезд сегодня 14:00)

Гостиная с угловым диваном (превращается в 2х спальную кровать) и большим smart TV, рабочий стол, просторная спальня с кондиционером, кухня со всем необходимым, патио, личная терраса,  зона барбекю.

Локация супер удобная - 1 минута от входа 7/11 и фуд-корта, на территории не шумно. 4 минуты до пляжа пешком.

WiFi - 1 gb/s. Делаем ТМ30, составляем контракт

В ЛС пришлю локацию, отзывы, больше фото/видео😉

Рейтинг 5/5, все гости очень довольны"
